"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6433","test_verify_dashboard_widgets[chromium]","tests.UI","Thu Dec 18 13:28:30 UTC 2025","passed","Thu Dec 18 13:28:37 UTC 2025","","test_dashboard","",""
"","24814","test_login[chromium-Admin-admin123-success]","tests.UI","Thu Dec 18 13:28:37 UTC 2025","passed","Thu Dec 18 13:29:02 UTC 2025","","test_login","",""
"","24800","test_login[chromium-InvalidUser-admin123-failure]","tests.UI","Thu Dec 18 13:29:02 UTC 2025","passed","Thu Dec 18 13:29:27 UTC 2025","","test_login","",""
"","12641","test_apply_leave_flow[chromium]","tests.UI","Thu Dec 18 13:28:18 UTC 2025","failed","Thu Dec 18 13:28:30 UTC 2025","","test_apply_leaves","",""
